#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 04 10 30 999 99.0 99.0  1.58  8.00  4.63 167 9999.0 999.0  20.4 999.0 99.0 99.00
2023 01 04 11 00 999 99.0 99.0  1.48  7.69  4.69 168 9999.0 999.0  20.5 999.0 99.0 99.00
2023 01 04 11 30 999 99.0 99.0  1.52  8.00  5.20 153 9999.0  18.9  20.5 999.0 99.0 99.00
2023 01 04 12 00 999 99.0 99.0  1.56  8.00  5.18 166 9999.0  18.9  20.5 999.0 99.0 99.00
2023 01 04 12 30 999 99.0 99.0  1.54  7.69  5.31 159 9999.0  18.7  20.5 999.0 99.0 99.00
2023 01 04 13 00 999 99.0 99.0  1.37  8.00  5.34 160 9999.0  18.7  20.5 999.0 99.0 99.00
2023 01 04 13 30 999 99.0 99.0  1.38  7.69  5.76 155 9999.0  19.2  20.5 999.0 99.0 99.00
2023 01 04 14 00 999 99.0 99.0  1.35  7.69  5.84 162 9999.0  19.2  20.5 999.0 99.0 99.00
2023 01 04 14 30 999 99.0 99.0  1.34  7.41  6.04 168 9999.0  19.9  20.5 999.0 99.0 99.00
2023 01 04 15 00 999 99.0 99.0  1.33  7.69  6.29 164 9999.0  20.1  20.5 999.0 99.0 99.00
2023 01 04 15 30 999 99.0 99.0  1.33  7.69  6.37 163 9999.0  19.9  20.5 999.0 99.0 99.00
2023 01 04 16 00 999 99.0 99.0  1.16  7.41  6.18 166 9999.0  20.1  20.6 999.0 99.0 99.00
2023 01 04 16 30 999 99.0 99.0  1.24  7.41  6.42 166 9999.0  20.3  20.6 999.0 99.0 99.00
2023 01 04 17 00 999 99.0 99.0  1.17  7.14  6.35 161 9999.0  20.3  20.6 999.0 99.0 99.00
2023 01 04 17 30 999 99.0 99.0  1.14  7.41  6.16 171 9999.0  20.5  20.9 999.0 99.0 99.00
2023 01 04 18 00 999 99.0 99.0  1.24  7.41  6.43 176 9999.0  20.6  21.0 999.0 99.0 99.00
2023 01 04 18 30 999 99.0 99.0  1.16  7.69  6.34 156 9999.0  21.2  21.2 999.0 99.0 99.00
2023 01 04 19 00 999 99.0 99.0  1.10  7.41  6.28 180 9999.0  21.2  21.3 999.0 99.0 99.00
2023 01 04 19 30 999 99.0 99.0  1.13  7.69  6.37 164 9999.0  21.2  21.3 999.0 99.0 99.00
2023 01 04 20 00 999 99.0 99.0  1.18  7.14  6.35 169 9999.0  21.4  21.4 999.0 99.0 99.00
2023 01 04 20 30 999 99.0 99.0  1.25  7.69  6.44 162 9999.0  21.5  21.4 999.0 99.0 99.00
2023 01 04 21 00 999 99.0 99.0  1.08  7.41  5.97 174 9999.0  21.4  21.3 999.0 99.0 99.00
2023 01 04 21 30 999 99.0 99.0  1.22  7.14  6.34 171 9999.0  21.3  21.3 999.0 99.0 99.00
2023 01 04 22 00 999 99.0 99.0  1.19  7.14  6.11 169 9999.0  21.0  21.2 999.0 99.0 99.00
2023 01 04 22 30 999 99.0 99.0  1.18  6.90  6.05 173 9999.0  20.7  21.1 999.0 99.0 99.00
2023 01 04 23 00 999 99.0 99.0  1.06  6.90  5.57 172 9999.0  20.1  20.9 999.0 99.0 99.00
2023 01 04 23 30 999 99.0 99.0  1.08  6.90  5.57 177 9999.0  19.9  20.9 999.0 99.0 99.00
2023 01 05 00 00 999 99.0 99.0  1.12  7.69  5.64 153 9999.0  19.4  20.9 999.0 99.0 99.00
2023 01 05 00 30 999 99.0 99.0  1.00  7.14  5.29 167 9999.0  20.0  20.8 999.0 99.0 99.00
2023 01 05 01 00 999 99.0 99.0  1.14  7.14  5.50 171 9999.0  19.7  20.7 999.0 99.0 99.00
2023 01 05 01 30 999 99.0 99.0  1.19  7.41  5.60 161 9999.0  19.4  20.7 999.0 99.0 99.00
2023 01 05 02 00 999 99.0 99.0  1.10  7.69  5.36 156 9999.0  20.1  20.7 999.0 99.0 99.00
2023 01 05 02 30 999 99.0 99.0  1.10  7.14  5.36 159 9999.0  19.9  20.5 999.0 99.0 99.00
2023 01 05 03 00 999 99.0 99.0  1.05  6.90  5.30 163 9999.0  19.7  20.5 999.0 99.0 99.00
2023 01 05 03 30 999 99.0 99.0  1.00  7.14  5.15 156 9999.0  19.6  20.1 999.0 99.0 99.00
2023 01 05 04 00 999 99.0 99.0  1.00  6.90  5.23 169 9999.0  19.6  20.0 999.0 99.0 99.00
2023 01 05 04 30 999 99.0 99.0  1.09  7.14  5.57 159 9999.0  19.4  19.8 999.0 99.0 99.00
2023 01 05 05 00 999 99.0 99.0  1.02  7.14  5.52 152 9999.0  19.3  19.8 999.0 99.0 99.00
2023 01 05 05 30 999 99.0 99.0  0.95  7.14  5.48 160 9999.0  19.0  19.7 999.0 99.0 99.00
2023 01 05 06 00 999 99.0 99.0  1.00  6.90  5.49 165 9999.0  19.1  19.5 999.0 99.0 99.00
2023 01 05 06 30 999 99.0 99.0  0.98  6.90  5.24 168 9999.0  18.9  19.2 999.0 99.0 99.00
2023 01 05 07 00 999 99.0 99.0  0.97  6.90  5.01 171 9999.0  19.3  19.2 999.0 99.0 99.00
2023 01 05 07 30 999 99.0 99.0  0.93  7.14  4.73 157 9999.0  19.0  19.2 999.0 99.0 99.00
